inputBarcode,action,reason,coneId,issueTxnId,orderId,orderno,articleId,articleNumber,machineId,yarnCatalogId,yarnName,returnTxnId,returnTxnGroupKey,moaYarnReturnStatusBefore,moaYarnReturnStatusAfter
699956e24583baeaf6e42aa8,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699956e24583baeaf6e42aaf,,,,,,,,,,,,
699956e24583baeaf6e42aaa,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699956e24583baeaf6e42ab1,,,,,,,,,,,,
699956e24583baeaf6e42aac,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699956e24583baeaf6e42ab3,,,,,,,,,,,,
699957aa4583baeaf6e42d65,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699957aa4583baeaf6e42d6e,,,,,,,,,,,,
6999610b4583baeaf6e43c33,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999610b4583baeaf6e43c3d,,,,,,,,,,,,
6999610b4583baeaf6e43c38,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999610b4583baeaf6e43c42,,,,,,,,,,,,
6999618d4583baeaf6e4406d,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e44076,,,,,,,,,,,,
6999618d4583baeaf6e4406e,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e44077,,,,,,,,,,,,
6999618d4583baeaf6e4406f,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e44078,,,,,,,,,,,,
6999618d4583baeaf6e44070,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e44079,,,,,,,,,,,,
6999618d4583baeaf6e44071,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e4407a,,,,,,,,,,,,
6999618d4583baeaf6e44073,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e4407c,,,,,,,,,,,,
6999618d4583baeaf6e44074,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999618d4583baeaf6e4407d,,,,,,,,,,,,
699962394583baeaf6e45792,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699962394583baeaf6e457a8,,,,,,,,,,,,
699962394583baeaf6e45793,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699962394583baeaf6e457a9,,,,,,,,,,,,
699962684583baeaf6e4592b,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699962684583baeaf6e4592f,,,,,,,,,,,,
699964f14583baeaf6e475ad,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699964f14583baeaf6e475bd,,,,,,,,,,,,
699965264583baeaf6e47875,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e4787d,,,,,,,,,,,,
699965264583baeaf6e47876,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e4787e,,,,,,,,,,,,
699965264583baeaf6e47877,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e4787f,,,,,,,,,,,,
699965264583baeaf6e47878,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e47880,,,,,,,,,,,,
699965264583baeaf6e47879,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e47881,,,,,,,,,,,,
699965264583baeaf6e4787a,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e47882,,,,,,,,,,,,
699965264583baeaf6e4787b,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965264583baeaf6e47883,,,,,,,,,,,,
699965914583baeaf6e47b30,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b44,,,,,,,,,,,,
699965914583baeaf6e47b31,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b45,,,,,,,,,,,,
699965914583baeaf6e47b34,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b48,,,,,,,,,,,,
699965914583baeaf6e47b38,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b4c,,,,,,,,,,,,
699965914583baeaf6e47b3e,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b52,,,,,,,,,,,,
699965914583baeaf6e47b40,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b54,,,,,,,,,,,,
699965914583baeaf6e47b41,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699965914583baeaf6e47b55,,,,,,,,,,,,
6999660d4583baeaf6e481eb,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e481fb,,,,,,,,,,,,
6999660d4583baeaf6e481ec,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e481fc,,,,,,,,,,,,
6999660d4583baeaf6e481ee,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e481fe,,,,,,,,,,,,
6999660d4583baeaf6e481ef,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e481ff,,,,,,,,,,,,
6999660d4583baeaf6e481f1,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e48201,,,,,,,,,,,,
6999660d4583baeaf6e481f2,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e48202,,,,,,,,,,,,
6999660d4583baeaf6e481f4,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e48204,,,,,,,,,,,,
6999660d4583baeaf6e481f5,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e48205,,,,,,,,,,,,
6999660d4583baeaf6e481f7,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),6999660d4583baeaf6e48207,,,,,,,,,,,,
699969d74583baeaf6e48a59,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a64,,,,,,,,,,,,
699969d74583baeaf6e48a5a,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a65,,,,,,,,,,,,
699969d74583baeaf6e48a5b,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a66,,,,,,,,,,,,
699969d74583baeaf6e48a5c,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a67,,,,,,,,,,,,
699969d74583baeaf6e48a5e,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a69,,,,,,,,,,,,
699969d74583baeaf6e48a5f,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a6a,,,,,,,,,,,,
699969d74583baeaf6e48a60,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a6b,,,,,,,,,,,,
699969d74583baeaf6e48a61,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),699969d74583baeaf6e48a6c,,,,,,,,,,,,
69996a0a4583baeaf6e48bc6,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),69996a0a4583baeaf6e48bcf,,,,,,,,,,,,
69996a0a4583baeaf6e48bc8,not_issued_skipped,Cone issueStatus is 'used' (expected 'issued'),69996a0a4583baeaf6e48bd1,,,,,,,,,,,,
