rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
2,6999618d4583baeaf6e4406c,ORD-000044,6999618d4583baeaf6e44075,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
3,699969af4583baeaf6e48914,ORD-000083,699969af4583baeaf6e48915,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
4,699969d74583baeaf6e48a62,ORD-000083,699969d74583baeaf6e48a6d,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
5,69996a0a4583baeaf6e48bc9,ORD-000070,69996a0a4583baeaf6e48bd2,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
6,69996b384583baeaf6e49741,ORD-000087,69996b384583baeaf6e4974a,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
7,69996b7d4583baeaf6e499f7,ORD-000087,69996b7d4583baeaf6e499fa,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
8,699a92764583baeaf6e532c9,ORD-000087,699a92764583baeaf6e532cc,issued,ORD-000024,69d883c5edc59d9ec1045ffb,69d896e5edc59d9ec10501c6,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
9,699a9f264583baeaf6e5688c,ORD-000024,699a9f264583baeaf6e568b3,issued,ORD-000024,69d883c5edc59d9ec1046006,69eaeb5186f7ddd153de6433,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
10,699aa0ae4583baeaf6e56db0,ORD-000082,699aa0ae4583baeaf6e56dc6,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
11,699aa0ae4583baeaf6e56db3,ORD-000082,699aa0ae4583baeaf6e56dc9,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
12,699aa0ae4583baeaf6e56db5,ORD-000082,699aa0ae4583baeaf6e56dcb,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
13,699aa0ae4583baeaf6e56dba,ORD-000082,699aa0ae4583baeaf6e56dd0,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
14,699aa0ae4583baeaf6e56dbf,ORD-000082,699aa0ae4583baeaf6e56dd5,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
15,699aa0ae4583baeaf6e56dc1,ORD-000082,699aa0ae4583baeaf6e56dd7,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
16,699aa5454583baeaf6e577bb,ORD-000079,699aa5454583baeaf6e577ea,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
17,699aa5454583baeaf6e577c0,ORD-000048,699aa5454583baeaf6e577ef,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
18,699aa55d4583baeaf6e579c9,ORD-000079,699aa55d4583baeaf6e57a8d,issued,ORD-000024,69d883c5edc59d9ec1045ffb,69d8965dedc59d9ec105013d,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
19,699aa55d4583baeaf6e57a25,ORD-000069,699aa55d4583baeaf6e57ae9,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
20,699aa55d4583baeaf6e57a34,ORD-000031,699aa55d4583baeaf6e57af8,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
21,699aa55d4583baeaf6e57a49,ORD-000047,699aa55d4583baeaf6e57b0d,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
22,699aa55d4583baeaf6e57a51,ORD-000079,699aa55d4583baeaf6e57b15,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
23,699aa86a4583baeaf6e5da24,ORD-000082,699aa86a4583baeaf6e5da2b,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
24,699aa86a4583baeaf6e5da25,ORD-000085,699aa86a4583baeaf6e5da2c,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
25,699aaa344583baeaf6e5de9a,ORD-000023,699aaa344583baeaf6e5de9c,issued,ORD-000023,69d7513eedc59d9ec1012dfa,69ddabee007e05d7e73eba8e,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
