rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
2,6999618d4583baeaf6e4406c,ORD-000044,6999618d4583baeaf6e44075,issued,ORD-000044,69f087e5bd0f1f2ad784e6f5,69f5d7ca27350179fbae1c0a,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
3,699969af4583baeaf6e48914,ORD-000083,699969af4583baeaf6e48915,issued,ORD-000083,6a3b933e7259ec86eff54de2,6a3d17d54af719a8356d6078,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
4,699969d74583baeaf6e48a62,ORD-000083,699969d74583baeaf6e48a6d,issued,ORD-000083,6a3b933e7259ec86eff54de2,6a3ba0127259ec86eff56c16,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
5,69996a0a4583baeaf6e48bc9,ORD-000070,69996a0a4583baeaf6e48bd2,used,,,,skip_not_issued,issueStatus is 'used' (only currently issued cones are empty-returned),false,false,
6,69996b384583baeaf6e49741,ORD-000087,69996b384583baeaf6e4974a,issued,ORD-000087,6a4c922add1345ca37a57bed,6a4cc13add1345ca37a5e993,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
7,69996b7d4583baeaf6e499f7,ORD-000087,69996b7d4583baeaf6e499fa,issued,ORD-000087,6a4c922add1345ca37a57bed,6a4cc12add1345ca37a5e979,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
8,699a92764583baeaf6e532c9,ORD-000087,699a92764583baeaf6e532cc,issued,ORD-000087,6a5b1c9e29728c97dbccdf23,6a5b251a29728c97dbcd44be,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
9,699a9f264583baeaf6e5688c,ORD-000024,699a9f264583baeaf6e568b3,used,,,,skip_not_issued,issueStatus is 'used' (only currently issued cones are empty-returned),false,false,
10,699aa0ae4583baeaf6e56db0,ORD-000082,699aa0ae4583baeaf6e56dc6,issued,ORD-000082,6a33858d1b196c2c23166a2a,6a44b3472534844badea7370,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
11,699aa0ae4583baeaf6e56db3,ORD-000082,699aa0ae4583baeaf6e56dc9,issued,ORD-000082,6a33858d1b196c2c23166a2a,6a4c9ccbdd1345ca37a5934f,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
