rowIndex,barcode,coneId,yarnCatalogId,status,beforeIssueStatus,beforeConeWeight,beforeTearWeight,beforeConeStorageId,beforeIssueWeight,afterIssueStatus,afterConeWeight,afterTearWeight,afterConeStorageId,afterIssueWeight
2,69d399982614366a5d8867a2,69d399982614366a5d8867b4,6926a7b7a5ccbd9b84f71527,would_update,not_issued,0.084,0.05,B7-01-S0029-F02,1.036,used,0,0,,0.034
3,699c44544583baeaf6e81275,699c44544583baeaf6e81281,6926a7b8a5ccbd9b84f71a6d,would_update,not_issued,0.558,0,B7-01-S0016-F03,0.476,used,0,0,,0.558
4,699c44544583baeaf6e81276,699c44544583baeaf6e81282,6926a7b8a5ccbd9b84f71a6d,would_update,not_issued,0.41,0,B7-01-S0016-F03,0.412,used,0,0,,0.41
5,699c44544583baeaf6e8127c,699c44544583baeaf6e81288,6926a7b8a5ccbd9b84f71a6d,would_update,not_issued,0.7,0,B7-01-S0016-F03,0.679,used,0,0,,0.7
6,699c44544583baeaf6e8127f,699c44544583baeaf6e8128b,6926a7b8a5ccbd9b84f71a6d,would_update,not_issued,0.302,0,B7-01-S0016-F03,0.464,used,0,0,,0.302
7,69da0c03edc59d9ec10a7916,69da0c03edc59d9ec10a7921,6926a7baa5ccbd9b84f72163,would_update,not_issued,1.334,0.1,B7-01-S0038-F03,1.478,used,0,0,,1.234
8,69e066fa00ca64e3cf58f37a,69e066fa00ca64e3cf58f38f,6926a7b8a5ccbd9b84f717d7,would_update,not_issued,0.202,0,B7-01-S0027-F03,0.854,used,0,0,,0.202
9,6a279d229a2d47385fbd7852,6a279d229a2d47385fbd7869,69b2b86205698dfad7b27e7c,would_update,not_issued,0.52,0.1,B7-01-S0031-F01,0.807,used,0,0,,0.42000000000000004
10,69f1fe4f2095293f7e58d8dc,69f1fe4f2095293f7e58d8df,6926a7baa5ccbd9b84f72157,would_update,not_issued,0.142,0,B7-01-S0036-F02,0.15,used,0,0,,0.142
11,69a565f193145c5b28578e39,69a565f193145c5b28578e4c,6926a7b9a5ccbd9b84f71ed7,would_update,not_issued,0.932,0,B7-01-S0038-F02,1.036,used,0,0,,0.932
12,69e5efd54dfe50532a16cccb,69e5efd54dfe50532a16cce3,691ef8bccb4c4b6d149a700b,would_update,not_issued,1.115,0.05,B7-01-S0019-F02,2.428,used,0,0,,1.065
13,69d877dcedc59d9ec103e899,69d877dcedc59d9ec103e8b5,6926a7b9a5ccbd9b84f72023,would_update,not_issued,0.662,0,B7-01-S0037-F03,0.998,used,0,0,,0.662
14,69a564c693145c5b28578c06,69a564c693145c5b28578c08,6926a7b9a5ccbd9b84f71ffd,would_update,not_issued,0.48,0,B7-01-S0037-F02,0.61,used,0,0,,0.48
15,6a266853d825f7263a0f915a,6a266853d825f7263a0f916c,6926a7b8a5ccbd9b84f717d7,would_update,not_issued,0.14,0.05,B7-01-S0027-F02,1.124,used,0,0,,0.09000000000000001
16,69c3cd6ea7819fd050b1fbf2,69c3cd6ea7819fd050b1fbf6,6926a7baa5ccbd9b84f7214d,would_update,not_issued,0.172,0,B7-01-S0036-F02,0.212,used,0,0,,0.172
17,69a4155b93145c5b28552f61,69a4155b93145c5b28552f83,6926a7b9a5ccbd9b84f71eaf,would_update,not_issued,0.144,0,B7-01-S0038-F01,0.652,used,0,0,,0.144
18,69ce1a8cff9f99209b6cf29f,69ce1a8cff9f99209b6cf2c7,6926a7b6a5ccbd9b84f713bb,would_update,not_issued,1.328,0,B7-01-S0019-F02,1.334,used,0,0,,1.328
19,6a44ed32deec0554e697deb0,6a44ed32deec0554e697ded4,6926a7b6a5ccbd9b84f7123d,would_update,not_issued,0.38,0.05,B7-01-S0019-F01,0.378,used,0,0,,0.33
20,69c652f214badff1b9e6b4f1,69c652f214badff1b9e6b51d,6926a7b7a5ccbd9b84f714f1,would_update,not_issued,0.686,0,B7-01-S0024-F01,0.968,used,0,0,,0.686
21,6a2b8b60bbfb24833d530206,6a2b8b60bbfb24833d53021e,6926a7b6a5ccbd9b84f713c7,would_update,not_issued,0.789,0.05,B7-01-S0021-F02,0.789,used,0,0,,0.739
22,6a44b05f2534844badea6419,6a44b05f2534844badea643d,6926a7b9a5ccbd9b84f7202f,would_update,not_issued,0.041,0.1,B7-01-S0038-F02,0.027,used,0,0,,0.027
23,69c3e0cea7819fd050b25937,69c3e0cea7819fd050b2593a,692e7cbcabe3fbc58a86e502,would_update,not_issued,0.506,0,B7-01-S0040-F02,0.516,used,0,0,,0.506
24,69e9caea59aa9fc88a54e621,69e9caea59aa9fc88a54e63a,6926a7b7a5ccbd9b84f71533,would_update,not_issued,0.968,0,B7-01-S0032-F03,0.966,used,0,0,,0.968
