Yarn Name,PO Number,Supplier,PO Status,Box ID,Barcode,Lot Number,Shade Code,Cones,Box Weight (kg),Gross Weight (kg),Unallocated kg (box weight only),QC Status,Received Date,Stored Status
70/2-Deep Grey-Deep Grey-Nylon/Nylon,PO-2026-1264,WAMPUM SYNTEX PRIVATE LIMITED,goods_partially_received,BOX-PO-2026-1264-EW83507/26-18.08-1787033748498-2,6a83f894b50abef554e5f1b8,EW83507/26-18.08,WN98756,23,5.016000000000004,24.78,5.016000000000004,qc_approved,2026-08-18,Unallocated
70/2-Deep Grey-Deep Grey-Nylon/Nylon,PO-2026-1264,WAMPUM SYNTEX PRIVATE LIMITED,goods_partially_received,BOX-PO-2026-1264-EW83507/26-18.08-1787033748498-1,6a83f894b50abef554e5f1b7,EW83507/26-18.08,WN98756,23,0.6960000000000015,24.74,0.6960000000000015,qc_approved,2026-08-18,Unallocated
20s-Beige-Beige-Cotton/Compact,PO-2026-1281,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,goods_received,BOX-PO-2026-1281-90562-st08.08-1786450403976-3,6a7b11e3908c389c211cf31b,90562-st08.08,SDY50144-B,1,0.006000000000000005,1.26,0.006000000000000005,qc_approved,2026-08-11,Unallocated
20/70-Black-Black-Nylon/Spandex,PO-2026-1272,VALSON POLYESTER PRIVATE LIMITED,goods_partially_received,BOX-PO-2026-1272-CN/2132-st08.08-1786347128244-8,6a797e78f8ca5b4dae002570,CN/2132-st08.08,VNY850,1,0.0010000000000000009,0.3,0.0010000000000000009,qc_approved,2026-08-10,Unallocated
70/1-Navy-Navy-Nylon/Nylon,PO-2026-1272,VALSON POLYESTER PRIVATE LIMITED,goods_partially_received,BOX-PO-2026-1272-NL62515-st10.08-1786346386717-4,6a797b92f8ca5b4daeffae65,NL62515-st10.08,VNY7340,3,0.3500000000000001,1.46,0.3500000000000001,qc_approved,2026-08-10,Unallocated
30s-Burgundy-Burgundy-Cotton/Compact,PO-2026-1263,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,goods_received,BOX-PO-2026-1263-91848-08.08.2026-1786178004688-1,6a76e9d4f8ca5b4daef5c57c,91848-08.08.2026,SDY56788-C,40,0.6480000000000032,48.38,0.6480000000000032,qc_approved,2026-08-08,Unallocated
30s-Burgundy-Burgundy-Cotton/Compact,PO-2026-1263,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,goods_received,BOX-PO-2026-1263-91848-08.08.2026-1786178004688-2,6a76e9d4f8ca5b4daef5c57d,91848-08.08.2026,SDY56788-C,10,0.5560000000000009,12.86,0.5560000000000009,qc_approved,2026-08-08,Unallocated
2/40s-Black-Black-Cotton/Gassed Mercerized Cotton,PO-2026-1280,VARDHMAN TEXTILES LIMITED,goods_partially_received,BOX-PO-2026-1280-MU2407209-1786011180655-6,6a745e2cd97f5223285480ab,MU2407209,WNASP47245,3,0.5909999999999997,2.86,0.5909999999999997,qc_approved,2026-08-06,Unallocated
2/40s-Navy-Navy-Cotton/Gassed Mercerized Cotton,PO-2026-1280,VARDHMAN TEXTILES LIMITED,goods_partially_received,BOX-PO-2026-1280-MU2502423-1786011180655-2,6a745e2cd97f52232854809f,MU2502423,HD47232,7,0.04799999999999999,0.8,0.04799999999999999,qc_approved,2026-08-06,Unallocated
30s-Light Grey Melange-Light Grey Melange-Cotton/Combed Melange,PO-2026-1193,RSWM LTD.,goods_received,BOX-PO-2026-1193-2652305860-03.08.2026-1785759699853-2,6a7087d3086493f116990f96,2652305860-03.08.2026,81110067,58,29.864,55.6,29.864,qc_approved,2026-08-03,Unallocated
30s-Light Grey Melange-Light Grey Melange-Cotton/Combed Melange,PO-2026-1193,RSWM LTD.,goods_received,BOX-PO-2026-1193-2652305860-03.08.2026-1785759699853-1,6a7087d3086493f116990f95,2652305860-03.08.2026,81110067,60,30.567999999999994,60.92,30.567999999999994,qc_approved,2026-08-03,Unallocated
Soft top-Raw White-Raw White-Rubber/Soft top,PO-2026-1272,VALSON POLYESTER PRIVATE LIMITED,goods_partially_received,BOX-PO-2026-1272-Nc/1516-st31.07-1785492691220-2,6a6c74d3d6f10fa6830931e2,Nc/1516-st31.07,Raw White,5,0.4,0.68,0.4,,2026-07-31,Unallocated
20/70-Light Grey Melange-Light Grey Melange-Nylon/Spandex,PO-2026-1271,WAMPUM SYNTEX PRIVATE LIMITED,goods_partially_received,BOX-PO-2026-1271-EW64238-st31.07-1785485412564-1,6a6c5864d6f10fa68305be2e,EW64238-st31.07,WN96693,1,0.04300000000000001,0.38,0.04300000000000001,qc_approved,2026-07-31,Unallocated
30s-Burgundy-Burgundy-Cotton/Compact,PO-2026-1270,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,goods_received,BOX-PO-2026-1270-95335-st30.07.2026-1785408848296-1,6a6b2d50d6f10fa683fee4a1,95335-st30.07.2026,SDY56788-C,10,5.662,12.24,5.662,qc_approved,2026-07-30,Unallocated
20/70-Deep Grey-Deep Grey-Nylon/Spandex,PO-2026-1240,WAMPUM SYNTEX PRIVATE LIMITED,goods_received,BOX-PO-2026-1240-EW81589-29.07.2026-1785305836728-1,6a699aec6c92e68336b29ec7,EW81589-29.07.2026,WN98756,19,7.663000000000002,25.78,7.663000000000002,qc_approved,2026-07-29,Unallocated
20/70-Deep Grey-Deep Grey-Nylon/Spandex,PO-2026-1240,WAMPUM SYNTEX PRIVATE LIMITED,goods_received,BOX-PO-2026-1240-EW81589-29.07.2026-1785305836728-2,6a699aec6c92e68336b29ec8,EW81589-29.07.2026,WN98756,19,3.770000000000003,25.88,3.770000000000003,qc_approved,2026-07-29,Unallocated
20/70-Deep Grey-Deep Grey-Nylon/Spandex,PO-2026-1240,WAMPUM SYNTEX PRIVATE LIMITED,goods_received,BOX-PO-2026-1240-EW81589-29.07.2026-1785305836728-4,6a699aec6c92e68336b29eca,EW81589-29.07.2026,WN98756,19,5.788999999999998,25.92,5.788999999999998,qc_approved,2026-07-29,Unallocated
