rowIndex,barcode,boxId,status,bucket,reason,docId,poNumber,yarnName,yarnCatalogId,beforeBoxWeight,beforeGrossWeight,beforeNumberOfCones,beforeStorageLocation,beforeStoredStatus,afterBoxWeight,afterGrossWeight,afterNumberOfCones,afterStorageLocation,afterStoredStatus,stConeCount,issuedStConeCount,message
7,6a20054d9ad6499102dec65d,BOX-PO-2026-1209-75063-1780483405029-7,would_update,can_zero,eligible,6a20054d9ad6499102dec672,PO-2026-1209,20s-Light Grey Melange-Light Grey Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713af,1.46,1.56,2,B7-02-S0001-F01,true,0,0,0,,false,0,0,
8,6a268d9e9fc358290d38115b,BOX-PO-2026-1200-EW70453-1780911518208-5,would_update,can_zero,eligible,6a268d9e9fc358290d381178,PO-2026-1200,70/2-Black-Black-Nylon/Nylon,,1.8,2.6,4,B7-02-S0001-F01,true,0,0,0,,false,0,0,
9,6a268d9e9fc358290d38115f,BOX-PO-2026-1200-WN96693-1780911518208-7,would_update,can_zero,eligible,6a268d9e9fc358290d38117a,PO-2026-1200,70/2-Light Grey Melange-Light Grey Melange-Nylon/Nylon,,0.911,1,1,B7-02-S0001-F01,true,0,0,0,,false,0,0,
16,6a28e23301bb024eb60bee06,BOX-PO-2026-1218-2116-1781064243051-1,would_update,can_zero,eligible,6a28e23301bb024eb60bee09,PO-2026-1218,70/2-Dark Grey-Dark Grey-Nylon/Nylon,,0.045,0.14,1,B7-02-S0001-F01,true,0,0,0,,false,0,0,
19,69d38f3c2614366a5d882f77,BOX-PO-2026-1151-EW39847-1775472444571-6,would_update,can_zero,eligible,69d38f3c2614366a5d882f8b,PO-2026-1151,20/70-Teal Blue-Teal Blue-Nylon/Spandex,698d68bb85dc2c4de5952ede,1,0,1,B7-02-S0001-F02,true,0,0,0,,false,0,0,
24,6a15618ae70e561e88689203,BOX-PO-2026-1202-SLN0292424-1779786122552-10,would_update,can_zero,eligible,6a15618ae70e561e88689219,PO-2026-1202,Soft top-Dark Grey-Dark Grey-Rubber/Soft top,6926a7b6a5ccbd9b84f71269,0.33100000000000007,1.4,7,B7-02-S0019-F02,true,0,0,0,,false,0,0,
29,69a156e280445e52870b2b00,BOX-PO-2026-1013-N/748-1772181218639-13,would_update,can_zero,eligible,69a156e280445e52870b2b0f,PO-2026-1013,20/70-Bottle Green-Bottle Green-Nylon/Spandex,698ae7a4e46d5f2f3c25c737,19.8,0,44,B7-02-S0030-F02,true,0,0,0,,false,0,0,
32,69a2aa91a47ecd5436f72799,BOX-PO-2026-1025-NTW020244-1772268177740-26,would_update,can_zero,eligible,69a2aa91a47ecd5436f727b3,PO-2026-1025,70/2-Raw White-Raw White-Nylon/Nylon,6926a7baa5ccbd9b84f72163,21.92,0,24,B7-02-S0032-F01,true,0,0,0,,false,0,0,
36,69944fd7f0a2c8b07dc40354,BOX-PO-2026-450-LN033373-1771327447669-46,would_update,can_zero,eligible,69944fd7f0a2c8b07dc403ba,PO-2026-450,33/2/120-Navy-Navy-Nylon/Nylon,6926a7b9a5ccbd9b84f71d49,8.025,0,17,B7-02-S0047-F03,true,0,0,0,,false,0,0,
37,69944fd7f0a2c8b07dc4036c,BOX-PO-2026-450-LN017494-1771327447669-59,would_update,can_zero,eligible,69944fd7f0a2c8b07dc403c7,PO-2026-450,33/2/120-Beige-Beige-Nylon/Nylon,6926a7b9a5ccbd9b84f71d3f,4.6,0,10,B7-02-S0047-F03,true,0,0,0,,false,0,0,
51,699404ce9c9936ad06eafdad,BOX-PO-2026-895-1954103617-1771308238780-26,would_update,can_zero,eligible,69980e0fff64efe073e81387,PO-2026-895,2/40s-Light Grey-Light Grey-Cotton/Twisted,6926a7b9a5ccbd9b84f71c01,9,0,10,B7-03-S0002-F01,true,0,0,0,,false,0,0,
