entityType,rowIndex,barcode,boxId,status,message,docId,beforeIssueStatus,beforeGrossWeight,beforeNetWeight,beforeRack,afterIssueStatus,afterGrossWeight,afterNetWeight,afterRack
cone,2,6a2118309ad6499102e36457,BOX-PO-2026-1209-45232-1780481560974-2,updated,,6a2118309ad6499102e3645b,used,0,0,,not_issued,1.008,1.008,B7-01-S0030-F02
cone,3,6a2118309ad6499102e36456,BOX-PO-2026-1209-45232-1780481560974-2,updated,,6a2118309ad6499102e3645a,used,0,0,,not_issued,1.016,1.016,B7-01-S0030-F02
cone,4,6a2118309ad6499102e36458,BOX-PO-2026-1209-45232-1780481560974-2,updated,,6a2118309ad6499102e3645c,used,0,0,,not_issued,1.012,1.012,B7-01-S0030-F02
cone,5,6a2118309ad6499102e36459,BOX-PO-2026-1209-45232-1780481560974-2,updated,,6a2118309ad6499102e3645d,used,0,0,,not_issued,0.836,0.836,B7-01-S0030-F02
cone,6,6a1a622353d0e92ec1d8083a,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80854,used,0,0,,not_issued,0.664,0.664,B7-01-S0028-F02
cone,7,6a1a622353d0e92ec1d8083f,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80859,used,0,0,,not_issued,1.012,1.012,B7-01-S0028-F02
cone,8,6a1a622353d0e92ec1d80839,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80853,used,0,0,,not_issued,1.036,1.036,B7-01-S0028-F02
cone,9,6a1a622353d0e92ec1d8083d,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80857,used,0,0,,not_issued,0.988,0.988,B7-01-S0028-F02
cone,10,6a1a622353d0e92ec1d8083e,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80858,used,0,0,,not_issued,1.114,1.114,B7-01-S0028-F02
cone,11,6a1a622353d0e92ec1d8083b,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80855,used,0,0,,not_issued,0.598,0.598,B7-01-S0028-F02
cone,12,6a1a622353d0e92ec1d8083c,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80856,used,0,0,,not_issued,1.318,1.318,B7-01-S0028-F02
cone,13,6a1a622353d0e92ec1d80831,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d8084b,used,0,0,,not_issued,1.442,1.442,B7-01-S0028-F02
cone,14,6a1a622353d0e92ec1d80834,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d8084e,used,0,0,,not_issued,0.982,0.982,B7-01-S0028-F02
cone,15,6a1a622353d0e92ec1d80836,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80850,used,0,0,,not_issued,1.36,1.36,B7-01-S0028-F02
cone,16,6a1a622353d0e92ec1d80838,BOX-PO-2026-986-U3801-1771328615255-48,updated,,6a1a622353d0e92ec1d80852,used,0,0,,not_issued,1.02,1.02,B7-01-S0028-F02
