cone_barcode,order_no,article_number,csv_issue_status,db_issue_status_before,action,status,reason,actual_weight,location_to_allocate,weight_before,weight_after,storage_before,storage_after,return_txn_id,issue_txn_id,order_id,article_id
699aa55d4583baeaf6e57a25,ORD-000028,A052,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),1.104,B7-01-S0030-F02,1.104,1.104,B7-01-S0030-F02,B7-01-S0030-F02,,,,
699aa55d4583baeaf6e57a51,ORD-000028,A052,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.836,B7-01-S0030-F02,0.836,0.836,B7-01-S0030-F02,B7-01-S0030-F02,,,,
699c44544583baeaf6e81274,ORD-000022,A4426,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.246,B7-01-S0016-F01,0.246,0.246,B7-01-S0016-F01,B7-01-S0016-F01,,,,
699c44544583baeaf6e81275,ORD-000022,A4426,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.532,B7-01-S0016-F01,0.532,0.532,B7-01-S0016-F01,B7-01-S0016-F01,,,,
699c44544583baeaf6e81276,ORD-000022,A4426,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.402,B7-01-S0016-F01,0.402,0.402,B7-01-S0016-F01,B7-01-S0016-F01,,,,
699c44544583baeaf6e8127a,ORD-000022,A4426,issued,used,not_issued_relocate,success,DB was used; CSV said issued. Updated weight and storage only.,0.004,B7-01-S0016-F01,0,0.004,,,,,,
699c44544583baeaf6e8127b,ORD-000022,A4426,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.462,B7-01-S0016-F01,0.462,0.462,B7-01-S0016-F01,B7-01-S0016-F01,,,,
699c44544583baeaf6e8127c,ORD-000022,A4426,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.694,B7-01-S0016-F01,0.694,0.694,B7-01-S0016-F01,B7-01-S0016-F01,,,,
699c44544583baeaf6e8127f,ORD-000022,A4426,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.45,B7-01-S0016-F01,0.45,0.45,B7-01-S0016-F01,B7-01-S0016-F01,,,,
699da719c926fc0fe856e81a,,,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.222,B7-01-S0013-F02,0.222,0.222,B7-01-S0013-F02,B7-01-S0013-F02,,,,
699ea677c926fc0fe85884db,ORD-000003,A6190,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.36,B7-01-S0013-F02,0.36,0.36,B7-01-S0013-F02,B7-01-S0013-F02,,,,
699ea677c926fc0fe85884e0,ORD-000003,A6190,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.33,B7-01-S0013-F02,0.33,0.33,B7-01-S0013-F02,B7-01-S0013-F02,,,,
69a4155b93145c5b28552f57,ORD-000004,A5448,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.22,B7-01-S0043-F02,0.22,0.22,B7-01-S0043-F02,B7-01-S0043-F02,,,,
69a4155b93145c5b28552f61,ORD-000024,A6302,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.6440001,B7-01-S0043-F02,0.6440001,0.6440001,B7-01-S0043-F02,B7-01-S0043-F02,,,,
69a524cc93145c5b28554cc0,,,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.326,B7-01-S0036-F03,0.326,0.326,B7-01-S0036-F03,B7-01-S0036-F03,,,,
69a5253d93145c5b28554e36,ORD-000008,A5912,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.768,B7-01-S0036-F03,0.768,0.768,B7-01-S0036-F03,B7-01-S0036-F03,,,,
69a5253d93145c5b28554e39,ORD-000008,A5912,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),0.692,B7-01-S0036-F03,0.692,0.692,B7-01-S0036-F03,B7-01-S0036-F03,,,,
69a565a093145c5b28578d7b,ORD-000024,A6302,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.684,B7-01-S0036-F03,0.684,0.684,B7-01-S0036-F03,B7-01-S0036-F03,,,,
69a565a093145c5b28578d82,ORD-000024,A6302,issued,not_issued,not_issued_relocate,success,DB was not_issued; CSV said issued. Updated weight and storage only.,0.386,B7-01-S0036-F03,0.386,0.386,B7-01-S0036-F03,B7-01-S0036-F03,,,,
69a565f193145c5b28578e39,,,not_issued,not_issued,not_issued_relocate,success,Updated coneWeight and coneStorageId (no return transaction),1.036,B7-01-S0036-F03,1.036,1.036,B7-01-S0036-F03,B7-01-S0036-F03,,,,
