cone_barcode,verify_status,issue,expected_weight,db_weight,expected_location,db_location,db_issue_status,csv_issue_status
699aa55d4583baeaf6e57a25,ok,,1.104,1.104,B7-01-S0030-F02,B7-01-S0030-F02,not_issued,not_issued
699aa55d4583baeaf6e57a51,ok,,0.836,0.836,B7-01-S0030-F02,B7-01-S0030-F02,not_issued,not_issued
699c44544583baeaf6e81274,ok,,0.246,0.246,B7-01-S0016-F01,B7-01-S0016-F01,not_issued,issued
699c44544583baeaf6e81275,ok,,0.532,0.532,B7-01-S0016-F01,B7-01-S0016-F01,not_issued,issued
699c44544583baeaf6e81276,ok,,0.402,0.402,B7-01-S0016-F01,B7-01-S0016-F01,not_issued,issued
699c44544583baeaf6e8127a,ok,,0.004,0.004,B7-01-S0016-F01,,used,issued
699c44544583baeaf6e8127b,ok,,0.462,0.462,B7-01-S0016-F01,B7-01-S0016-F01,not_issued,issued
699c44544583baeaf6e8127c,ok,,0.694,0.694,B7-01-S0016-F01,B7-01-S0016-F01,not_issued,issued
699c44544583baeaf6e8127f,ok,,0.45,0.45,B7-01-S0016-F01,B7-01-S0016-F01,not_issued,issued
699da719c926fc0fe856e81a,ok,,0.222,0.222,B7-01-S0013-F02,B7-01-S0013-F02,not_issued,not_issued
699ea677c926fc0fe85884db,ok,,0.36,0.36,B7-01-S0013-F02,B7-01-S0013-F02,not_issued,not_issued
699ea677c926fc0fe85884e0,ok,,0.33,0.33,B7-01-S0013-F02,B7-01-S0013-F02,not_issued,not_issued
69a4155b93145c5b28552f57,ok,,0.22,0.22,B7-01-S0043-F02,B7-01-S0043-F02,not_issued,not_issued
69a4155b93145c5b28552f61,ok,,0.6440001,0.6440001,B7-01-S0043-F02,B7-01-S0043-F02,not_issued,issued
69a524cc93145c5b28554cc0,ok,,0.326,0.326,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,not_issued
69a5253d93145c5b28554e36,ok,,0.768,0.768,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,not_issued
69a5253d93145c5b28554e39,ok,,0.692,0.692,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,not_issued
69a565a093145c5b28578d7b,ok,,0.684,0.684,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,issued
69a565a093145c5b28578d82,ok,,0.386,0.386,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,issued
69a565f193145c5b28578e39,ok,,1.036,1.036,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,not_issued
69a565f193145c5b28578e44,ok,,1.026,1.026,B7-01-S0036-F03,B7-01-S0036-F03,not_issued,not_issued
69a9142a93145c5b2859f803,ok,,0.404,0.404,B7-01-S0030-F02,B7-01-S0030-F02,not_issued,issued
69a9789793145c5b285a38ec,ok,,0.002,0.002,B7-01-S0030-F02,,used,not_issued
69aacdae93145c5b285a6ddb,ok,,0.04,0.04,B7-01-S0030-F02,B7-01-S0030-F02,not_issued,issued
69afc7f375ce3cd7dfb05318,ok,,0.002,0.002,B7-01-S0036-F03,,used,not_issued
