input_from_excel,barcode,cone_object_id,order_no,article_number,current_issue_status_db,cone_weight_db,note
699aa55d4583baeaf6e57a25,699aa55d4583baeaf6e57a25,699aa55d4583baeaf6e57ae9,ORD-000028,A052,not_issued,1.046,
699aa55d4583baeaf6e57a51,699aa55d4583baeaf6e57a51,699aa55d4583baeaf6e57b15,ORD-000028,A052,not_issued,0.781,
699aaa344583baeaf6e5de9a,699aaa344583baeaf6e5de9a,699aaa344583baeaf6e5de9c,ORD-000023,A224,used,0,
699bd4144583baeaf6e674d0,699bd4144583baeaf6e674d0,699bd4144583baeaf6e674e2,ORD-000029,A5631,used,0,
699bd5294583baeaf6e67a3f,699bd5294583baeaf6e67a3f,699bd5294583baeaf6e67a80,ORD-000029,A6079,used,0,
699bd5294583baeaf6e67a47,699bd5294583baeaf6e67a47,699bd5294583baeaf6e67a88,ORD-000029,A5631,used,0,
699bd5294583baeaf6e67a6c,699bd5294583baeaf6e67a6c,699bd5294583baeaf6e67aad,ORD-000029,A5631,used,0,
699bebbf4583baeaf6e694de,699bebbf4583baeaf6e694de,699bebbf4583baeaf6e694e8,ORD-000029,A5604,used,0,
699c44544583baeaf6e81274,699c44544583baeaf6e81274,699c44544583baeaf6e81280,ORD-000022,A4426,issued,0.242,
699c44544583baeaf6e81275,699c44544583baeaf6e81275,699c44544583baeaf6e81281,ORD-000022,A4426,issued,0.548,
699c44544583baeaf6e81276,699c44544583baeaf6e81276,699c44544583baeaf6e81282,ORD-000022,A4426,issued,1.09,
699c44544583baeaf6e8127a,699c44544583baeaf6e8127a,699c44544583baeaf6e81286,ORD-000022,A4426,issued,0.218,
699c44544583baeaf6e8127b,699c44544583baeaf6e8127b,699c44544583baeaf6e81287,ORD-000022,A4426,issued,1.096,
699c44544583baeaf6e8127c,699c44544583baeaf6e8127c,699c44544583baeaf6e81288,ORD-000022,A4426,issued,0.698,
699c44544583baeaf6e8127f,699c44544583baeaf6e8127f,699c44544583baeaf6e8128b,ORD-000022,A4426,issued,0.446,
699da719c926fc0fe856e81a,699da719c926fc0fe856e81a,699da719c926fc0fe856e85d,,,not_issued,0.242,no yarn issue txn on conesIdsArray; cone has no order/article refs — cannot infer order/article
699ea677c926fc0fe85884db,699ea677c926fc0fe85884db,699ea677c926fc0fe85884e7,ORD-000003,A6190,not_issued,0.35,
699ea677c926fc0fe85884e0,699ea677c926fc0fe85884e0,699ea677c926fc0fe85884ec,ORD-000003,A6190,not_issued,0.284,
69a19697a47ecd5436f6e67f,69a19697a47ecd5436f6e67f,69a19697a47ecd5436f6e687,ORD-000029,A5631,used,0,
69a2720fa47ecd5436f70a0b,69a2720fa47ecd5436f70a0b,69a2720fa47ecd5436f70a0e,ORD-000027,A3170,used,0,
69a4021b93145c5b2855186f,69a4021b93145c5b2855186f,69a4021b93145c5b28551876,ORD-000025,A6218,used,0,
69a4144593145c5b28552d85,69a4144593145c5b28552d85,69a4144593145c5b28552d8d,ORD-000029,A5603,used,0,
69a4155b93145c5b28552f57,69a4155b93145c5b28552f57,69a4155b93145c5b28552f79,ORD-000004,A5448,not_issued,1.049,
69a4155b93145c5b28552f61,69a4155b93145c5b28552f61,69a4155b93145c5b28552f83,ORD-000024,A6302,issued,0.886,
69a524cc93145c5b28554cc0,69a524cc93145c5b28554cc0,69a524cc93145c5b28554ccc,,,not_issued,0.342,no yarn issue txn on conesIdsArray; cone has no order/article refs — cannot infer order/article
69a5253d93145c5b28554e36,69a5253d93145c5b28554e36,69a5253d93145c5b28554e3e,ORD-000008,A5912,not_issued,0.666,
69a5253d93145c5b28554e39,69a5253d93145c5b28554e39,69a5253d93145c5b28554e41,ORD-000008,A5912,not_issued,0.592,
69a5658a93145c5b28578d2f,69a5658a93145c5b28578d2f,69a5658a93145c5b28578d39,ORD-000023,A224,used,0,
69a565a093145c5b28578d7b,69a565a093145c5b28578d7b,69a565a093145c5b28578d9c,ORD-000024,A6302,issued,0.948,
69a565a093145c5b28578d82,69a565a093145c5b28578d82,69a565a093145c5b28578da3,ORD-000024,A6302,issued,0.896,
69a565a093145c5b28578d84,69a565a093145c5b28578d84,69a565a093145c5b28578da5,ORD-000028,A4576,used,0,
69a565f193145c5b28578e39,69a565f193145c5b28578e39,69a565f193145c5b28578e4c,,,not_issued,1.082,no yarn issue txn on conesIdsArray; cone has no order/article refs — cannot infer order/article
69a565f193145c5b28578e44,69a565f193145c5b28578e44,69a565f193145c5b28578e57,,,not_issued,1.054,no yarn issue txn on conesIdsArray; cone has no order/article refs — cannot infer order/article
69a834a993145c5b285808b5,69a834a993145c5b285808b5,69a834a993145c5b285808c9,ORD-000005,A135,used,0,
69a834a993145c5b285808bc,69a834a993145c5b285808bc,69a834a993145c5b285808d0,ORD-000023,A224,used,0,
69a836ec93145c5b28580998,69a836ec93145c5b28580998,69a836ec93145c5b2858099d,ORD-000029,A5631,used,0,
69a9142a93145c5b2859f803,69a9142a93145c5b2859f803,69a9142a93145c5b2859f81b,ORD-000024,A6216,issued,2.478,
69a9789793145c5b285a38ec,69a9789793145c5b285a38ec,69a9789793145c5b285a3904,,,not_issued,2.068,no yarn issue txn on conesIdsArray; cone has no order/article refs — cannot infer order/article
69aacdae93145c5b285a6ddb,69aacdae93145c5b285a6ddb,69aacdae93145c5b285a6df3,ORD-000024,A6216,issued,1.242,
69ae497a777d8cba6a19b9d2,69ae497a777d8cba6a19b9d2,69ae497a777d8cba6a19b9e8,ORD-000029,A5938,used,0,
69ae6f28bec7c1c9b31d9ba7,69ae6f28bec7c1c9b31d9ba7,69ae6f28bec7c1c9b31d9bbe,ORD-000025,A6217,used,0,
69ae6f28bec7c1c9b31d9bab,69ae6f28bec7c1c9b31d9bab,69ae6f28bec7c1c9b31d9bc2,ORD-000025,A6217,used,0,
69afc7f375ce3cd7dfb05318,69afc7f375ce3cd7dfb05318,69afc7f375ce3cd7dfb0531f,,,not_issued,0.11,no yarn issue txn on conesIdsArray; cone has no order/article refs — cannot infer order/article
69afd2d075ce3cd7dfb055d2,69afd2d075ce3cd7dfb055d2,69afd2d075ce3cd7dfb055f6,ORD-000022,A2757,used,0,
69b0e7ff05b3bddb85280606,69b0e7ff05b3bddb85280606,69b0e7ff05b3bddb85280614,ORD-000006,A224,not_issued,0.019,
69b1165905b3bddb852811d8,69b1165905b3bddb852811d8,69b1165905b3bddb852811ed,ORD-000013,A6322,not_issued,0.113,
69b1276805b3bddb85281e37,69b1276805b3bddb85281e37,69b1276805b3bddb85281e56,ORD-000017,A4540,used,0,
69b263f0a37559f46ce1ca19,69b263f0a37559f46ce1ca19,69b263f0a37559f46ce1ca28,ORD-000050,A3419,issued,0.688,
69b3c6dd9a152b0d31d7dd56,69b3c6dd9a152b0d31d7dd56,69b3c6dd9a152b0d31d7dd7e,ORD-000004,A572,not_issued,0.088,
