inputFromExcel,excelColumnHeader,excelHeaderRow,resolvedInputKind,coneMongoId,coneBarcode,coneYarnName,coneIssueStatus,issueTxnId,transactionType,transactionDate,orderId,orderno,articleId,articleNumber,yarnNameOnTxn,transactionConeCount,note
699aa55d4583baeaf6e57a25,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699aa55d4583baeaf6e57a51,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699aaa344583baeaf6e5de9a,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699bd4144583baeaf6e674d0,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699bd5294583baeaf6e67a3f,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699bd5294583baeaf6e67a47,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699bd5294583baeaf6e67a6c,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699bebbf4583baeaf6e694de,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e81274,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e81275,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e81276,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e8127a,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e8127b,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e8127c,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699c44544583baeaf6e8127f,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699da719c926fc0fe856e81a,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699ea677c926fc0fe85884db,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
699ea677c926fc0fe85884e0,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a19697a47ecd5436f6e67f,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a2720fa47ecd5436f70a0b,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a3fd9d93145c5b28551437,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a3fd9d93145c5b2855143e,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a4021b93145c5b2855186f,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a4144593145c5b28552d85,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a4155b93145c5b28552f57,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a4155b93145c5b28552f61,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a524cc93145c5b28554cc0,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a5253d93145c5b28554e36,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a5253d93145c5b28554e39,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a5658a93145c5b28578d2f,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a565a093145c5b28578d7b,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a565a093145c5b28578d82,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a565a093145c5b28578d84,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a565f193145c5b28578e39,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a565f193145c5b28578e44,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a834a993145c5b285808b5,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a834a993145c5b285808bc,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a836ec93145c5b28580998,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a9142a93145c5b2859f803,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69a9789793145c5b285a38ec,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
69aacdae93145c5b285a6ddb,CONE ID05,4,cone_object_id,,,,,,,,,,,,,,No YarnCone for this ObjectId
