rowIndex,barcode,boxId,status,boxWeightBefore,grossWeightBefore,numberOfConesBefore,storageBefore,storedStatusBefore
2,69a1940ca47ecd5436f6e506,BOX-PO-2026-1020-94921-1772196876820-9,updated,21,0,21,B7-02-S0001-F02,true
3,69abf341777d8cba6a199644,BOX-PO-2026-1066-2562102345-1772876609586-1,updated,34.86,0,24,B7-02-S0001-F02,true
4,69b3bcc15565040bb07d90dc,BOX-PO-2026-1076-95551-1773386945786-2,updated,2.3270000000000124,0,40,B7-02-S0001-F02,true
5,69b3bcc15565040bb07d90dd,BOX-PO-2026-1076-95551-1773386945786-3,updated,43,0,40,B7-02-S0001-F02,true
6,69b3bcc15565040bb07d90e1,BOX-PO-2026-1076-94539-1773386945786-5,updated,41.4,0,40,B7-02-S0001-F02,true
7,69b52603a6225d28d31b2999,BOX-PO-2026-869-94383-1773479427763-10,updated,49.58,0,40,B7-02-S0001-F02,true
8,69b52603a6225d28d31b299a,BOX-PO-2026-869-94383-1773479427763-11,updated,49.52,0,40,B7-02-S0001-F02,true
9,69b52603a6225d28d31b299b,BOX-PO-2026-869-94383-1773479427763-12,updated,49.7,0,40,B7-02-S0001-F02,true
10,69b546afa6225d28d31ba01e,BOX-PO-2026-1079-1572-1773487791440-1,updated,1,0,1,B7-02-S0001-F02,true
11,69ba46ae36a721508719670e,BOX-PO-2026-1061-NL62514-1773815470364-5,updated,14.203999999999999,0,24,B7-02-S0001-F02,true
12,69ba46ae36a721508719670f,BOX-PO-2026-1061-NL62514-1773815470364-6,updated,22,0,24,B7-02-S0001-F02,true
13,69ba46ae36a7215087196711,BOX-PO-2026-1061-NL62514-1773815470364-8,updated,22.36,0,25,B7-02-S0001-F02,true
14,69ba46ae36a7215087196712,BOX-PO-2026-1061-NL62514-1773815470364-9,updated,8.12,0,8,B7-02-S0001-F02,true
15,69bb8b180490966d869d05f2,BOX-PO-2026-1089-EW09885-1773898520834-1,updated,5,0,5,B7-02-S0001-F02,true
16,69bb8b180490966d869d05f4,BOX-PO-2026-1089-Ew13364-1773898520834-2,updated,5.463,0,10,B7-02-S0001-F02,true
17,69bb9a3e0490966d869d2ae3,BOX-PO-2026-1089-EW37702-1773902398195-1,updated,4.238,0,5,B7-02-S0001-F02,true
18,69bb9a3e0490966d869d2ae5,BOX-PO-2026-1089-EW37708-1773902398195-2,updated,4,0,4,B7-02-S0001-F02,true
19,69bb9a3e0490966d869d2ae7,BOX-PO-2026-1089-EW37708-1773902398195-3,updated,1,0,1,B7-02-S0001-F02,true
20,69bb9a3e0490966d869d2ae9,BOX-PO-2026-1089-EW37709-1773902398195-4,updated,3.43,0,4,B7-02-S0001-F02,true
21,69bb9a3e0490966d869d2aeb,BOX-PO-2026-1089-EW65600-1773902398195-5,updated,20.744,0,30,B7-02-S0001-F02,true
22,69bbd0d3571f5889bf5c8e43,BOX-PO-2026-1090-EW49949-1773916371454-3,updated,0.13600000000000012,0,5,B7-02-S0001-F02,true
23,69bbd0d3571f5889bf5c8e4d,BOX-PO-2026-1090-DW54265-1773916371454-8,updated,6,0,6,B7-02-S0001-F02,true
24,69bbd0d3571f5889bf5c8e4f,BOX-PO-2026-1090-EW17087-1773916371454-9,updated,9,0,9,B7-02-S0001-F02,true
25,69bbd0d3571f5889bf5c8e51,BOX-PO-2026-1090-EW16342-1773916371454-10,updated,1,0,1,B7-02-S0001-F02,true
26,69bbd0d3571f5889bf5c8e53,BOX-PO-2026-1090-EW16345-1773916371454-11,updated,6,0,6,B7-02-S0001-F02,true
27,69be4dd922f72a9b530e7803,BOX-PO-2026-506-CN/2116-1774079449331-17,updated,16.65,20.26,20,B7-02-S0001-F02,true
28,69bf8c19beea45a970c3a177,BOX-PO-2026-1091-2554104465-1774160921258-1,updated,3.976,0,6,B7-02-S0001-F02,true
