rowIndex,barcode,boxId,status,message
2,,,skip_empty_row,No barcode or boxId on row
3,,,skip_empty_row,No barcode or boxId on row
4,,,skip_empty_row,No barcode or boxId on row
5,,,skip_empty_row,No barcode or boxId on row
6,,,skip_empty_row,No barcode or boxId on row
7,,,skip_empty_row,No barcode or boxId on row
8,,,skip_empty_row,No barcode or boxId on row
9,,,skip_empty_row,No barcode or boxId on row
10,,,skip_empty_row,No barcode or boxId on row
11,,,skip_empty_row,No barcode or boxId on row
12,,,skip_empty_row,No barcode or boxId on row
13,,,skip_empty_row,No barcode or boxId on row
14,,,skip_empty_row,No barcode or boxId on row
15,,,skip_empty_row,No barcode or boxId on row
16,,,skip_empty_row,No barcode or boxId on row
17,,,skip_empty_row,No barcode or boxId on row
18,,,skip_empty_row,No barcode or boxId on row
19,,,skip_empty_row,No barcode or boxId on row
20,,,skip_empty_row,No barcode or boxId on row
21,,,skip_empty_row,No barcode or boxId on row
22,,,skip_empty_row,No barcode or boxId on row
23,,,skip_empty_row,No barcode or boxId on row
24,,,skip_empty_row,No barcode or boxId on row
25,,,skip_empty_row,No barcode or boxId on row
26,,,skip_empty_row,No barcode or boxId on row
27,,,skip_empty_row,No barcode or boxId on row
28,,,skip_empty_row,No barcode or boxId on row
29,,,skip_empty_row,No barcode or boxId on row
30,,,skip_empty_row,No barcode or boxId on row
31,,,skip_empty_row,No barcode or boxId on row
32,,,skip_empty_row,No barcode or boxId on row
33,,,skip_empty_row,No barcode or boxId on row
34,,,skip_empty_row,No barcode or boxId on row
35,,,skip_empty_row,No barcode or boxId on row
36,,,skip_empty_row,No barcode or boxId on row
37,,,skip_empty_row,No barcode or boxId on row
38,,,skip_empty_row,No barcode or boxId on row
39,,,skip_empty_row,No barcode or boxId on row
40,,,skip_empty_row,No barcode or boxId on row
41,,,skip_empty_row,No barcode or boxId on row
42,,,skip_empty_row,No barcode or boxId on row
43,,,skip_empty_row,No barcode or boxId on row
44,,,skip_empty_row,No barcode or boxId on row
45,,,skip_empty_row,No barcode or boxId on row
46,,,skip_empty_row,No barcode or boxId on row
47,,,skip_empty_row,No barcode or boxId on row
48,,,skip_empty_row,No barcode or boxId on row
49,,,skip_empty_row,No barcode or boxId on row
50,,,skip_empty_row,No barcode or boxId on row
51,,,skip_empty_row,No barcode or boxId on row
52,,,skip_empty_row,No barcode or boxId on row
53,,,skip_empty_row,No barcode or boxId on row
54,,,skip_empty_row,No barcode or boxId on row
55,,,skip_empty_row,No barcode or boxId on row
56,,,skip_empty_row,No barcode or boxId on row
57,,,skip_empty_row,No barcode or boxId on row
58,,,skip_empty_row,No barcode or boxId on row
59,,,skip_empty_row,No barcode or boxId on row
60,,,skip_empty_row,No barcode or boxId on row
61,,,skip_empty_row,No barcode or boxId on row
62,,,skip_empty_row,No barcode or boxId on row
63,,,skip_empty_row,No barcode or boxId on row
64,,,skip_empty_row,No barcode or boxId on row
65,,,skip_empty_row,No barcode or boxId on row
66,,,skip_empty_row,No barcode or boxId on row
67,,,skip_empty_row,No barcode or boxId on row
68,,,skip_empty_row,No barcode or boxId on row
69,,,skip_empty_row,No barcode or boxId on row
70,,,skip_empty_row,No barcode or boxId on row
71,,,skip_empty_row,No barcode or boxId on row
72,,,skip_empty_row,No barcode or boxId on row
73,,,skip_empty_row,No barcode or boxId on row
74,,,skip_empty_row,No barcode or boxId on row
75,,,skip_empty_row,No barcode or boxId on row
76,,,skip_empty_row,No barcode or boxId on row
77,,,skip_empty_row,No barcode or boxId on row
78,,,skip_empty_row,No barcode or boxId on row
79,,,skip_empty_row,No barcode or boxId on row
80,,,skip_empty_row,No barcode or boxId on row
81,,,skip_empty_row,No barcode or boxId on row
82,,,skip_empty_row,No barcode or boxId on row
83,,,skip_empty_row,No barcode or boxId on row
84,,,skip_empty_row,No barcode or boxId on row
85,,,skip_empty_row,No barcode or boxId on row
86,,,skip_empty_row,No barcode or boxId on row
87,,,skip_empty_row,No barcode or boxId on row
88,,,skip_empty_row,No barcode or boxId on row
89,,,skip_empty_row,No barcode or boxId on row
90,,,skip_empty_row,No barcode or boxId on row
91,,,skip_empty_row,No barcode or boxId on row
92,,,skip_empty_row,No barcode or boxId on row
93,,,skip_empty_row,No barcode or boxId on row
94,,,skip_empty_row,No barcode or boxId on row
95,,,skip_empty_row,No barcode or boxId on row
96,,,skip_empty_row,No barcode or boxId on row
97,,,skip_empty_row,No barcode or boxId on row
98,,,skip_empty_row,No barcode or boxId on row
99,,,skip_empty_row,No barcode or boxId on row
100,,,skip_empty_row,No barcode or boxId on row
101,,,skip_empty_row,No barcode or boxId on row
102,,,skip_empty_row,No barcode or boxId on row
103,,,skip_empty_row,No barcode or boxId on row
104,,,skip_empty_row,No barcode or boxId on row
105,,,skip_empty_row,No barcode or boxId on row
106,,,skip_empty_row,No barcode or boxId on row
107,,,skip_empty_row,No barcode or boxId on row
108,,,skip_empty_row,No barcode or boxId on row
109,,,skip_empty_row,No barcode or boxId on row
110,,,skip_empty_row,No barcode or boxId on row
111,,,skip_empty_row,No barcode or boxId on row
112,,,skip_empty_row,No barcode or boxId on row
113,,,skip_empty_row,No barcode or boxId on row
114,,,skip_empty_row,No barcode or boxId on row
115,,,skip_empty_row,No barcode or boxId on row
116,,,skip_empty_row,No barcode or boxId on row
117,,,skip_empty_row,No barcode or boxId on row
118,,,skip_empty_row,No barcode or boxId on row
119,,,skip_empty_row,No barcode or boxId on row
120,,,skip_empty_row,No barcode or boxId on row
121,,,skip_empty_row,No barcode or boxId on row
122,,,skip_empty_row,No barcode or boxId on row
123,,,skip_empty_row,No barcode or boxId on row
124,,,skip_empty_row,No barcode or boxId on row
125,,,skip_empty_row,No barcode or boxId on row
126,,,skip_empty_row,No barcode or boxId on row
127,,,skip_empty_row,No barcode or boxId on row
128,,,skip_empty_row,No barcode or boxId on row
129,,,skip_empty_row,No barcode or boxId on row
130,,,skip_empty_row,No barcode or boxId on row
131,,,skip_empty_row,No barcode or boxId on row
132,,,skip_empty_row,No barcode or boxId on row
133,,,skip_empty_row,No barcode or boxId on row
134,,,skip_empty_row,No barcode or boxId on row
135,,,skip_empty_row,No barcode or boxId on row
136,,,skip_empty_row,No barcode or boxId on row
137,,,skip_empty_row,No barcode or boxId on row
138,,,skip_empty_row,No barcode or boxId on row
139,,,skip_empty_row,No barcode or boxId on row
140,,,skip_empty_row,No barcode or boxId on row
141,,,skip_empty_row,No barcode or boxId on row
142,,,skip_empty_row,No barcode or boxId on row
143,,,skip_empty_row,No barcode or boxId on row
144,,,skip_empty_row,No barcode or boxId on row
145,,,skip_empty_row,No barcode or boxId on row
146,,,skip_empty_row,No barcode or boxId on row
147,,,skip_empty_row,No barcode or boxId on row
148,,,skip_empty_row,No barcode or boxId on row
149,,,skip_empty_row,No barcode or boxId on row
150,,,skip_empty_row,No barcode or boxId on row
151,,,skip_empty_row,No barcode or boxId on row
152,,,skip_empty_row,No barcode or boxId on row
153,,,skip_empty_row,No barcode or boxId on row
154,,,skip_empty_row,No barcode or boxId on row
155,,,skip_empty_row,No barcode or boxId on row
156,,,skip_empty_row,No barcode or boxId on row
157,,,skip_empty_row,No barcode or boxId on row
158,,,skip_empty_row,No barcode or boxId on row
159,,,skip_empty_row,No barcode or boxId on row
160,,,skip_empty_row,No barcode or boxId on row
161,,,skip_empty_row,No barcode or boxId on row
162,,,skip_empty_row,No barcode or boxId on row
163,,,skip_empty_row,No barcode or boxId on row
164,,,skip_empty_row,No barcode or boxId on row
165,,,skip_empty_row,No barcode or boxId on row
166,,,skip_empty_row,No barcode or boxId on row
167,,,skip_empty_row,No barcode or boxId on row
168,,,skip_empty_row,No barcode or boxId on row
169,,,skip_empty_row,No barcode or boxId on row
170,,,skip_empty_row,No barcode or boxId on row
171,,,skip_empty_row,No barcode or boxId on row
172,,,skip_empty_row,No barcode or boxId on row
173,,,skip_empty_row,No barcode or boxId on row
174,,,skip_empty_row,No barcode or boxId on row
175,,,skip_empty_row,No barcode or boxId on row
176,,,skip_empty_row,No barcode or boxId on row
177,,,skip_empty_row,No barcode or boxId on row
178,,,skip_empty_row,No barcode or boxId on row
179,,,skip_empty_row,No barcode or boxId on row
180,,,skip_empty_row,No barcode or boxId on row
181,,,skip_empty_row,No barcode or boxId on row
182,,,skip_empty_row,No barcode or boxId on row
183,,,skip_empty_row,No barcode or boxId on row
184,,,skip_empty_row,No barcode or boxId on row
185,,,skip_empty_row,No barcode or boxId on row
186,,,skip_empty_row,No barcode or boxId on row
187,,,skip_empty_row,No barcode or boxId on row
188,,,skip_empty_row,No barcode or boxId on row
189,,,skip_empty_row,No barcode or boxId on row
190,,,skip_empty_row,No barcode or boxId on row
191,,,skip_empty_row,No barcode or boxId on row
192,,,skip_empty_row,No barcode or boxId on row
193,,,skip_empty_row,No barcode or boxId on row
194,,,skip_empty_row,No barcode or boxId on row
195,,,skip_empty_row,No barcode or boxId on row
196,,,skip_empty_row,No barcode or boxId on row
197,,,skip_empty_row,No barcode or boxId on row
198,,,skip_empty_row,No barcode or boxId on row
199,,,skip_empty_row,No barcode or boxId on row
200,,,skip_empty_row,No barcode or boxId on row
201,,,skip_empty_row,No barcode or boxId on row
202,,,skip_empty_row,No barcode or boxId on row
203,,,skip_empty_row,No barcode or boxId on row
204,,,skip_empty_row,No barcode or boxId on row
205,,,skip_empty_row,No barcode or boxId on row
206,,,skip_empty_row,No barcode or boxId on row
207,,,skip_empty_row,No barcode or boxId on row
208,,,skip_empty_row,No barcode or boxId on row
209,,,skip_empty_row,No barcode or boxId on row
210,,,skip_empty_row,No barcode or boxId on row
211,,,skip_empty_row,No barcode or boxId on row
212,,,skip_empty_row,No barcode or boxId on row
